dateTime;Temperature;Pressure;Humidity;windSpeed;windDegree

2018-05-31 00:00:00;27.30;1015.20;52.13;1.85;10.22 
2018-05-31 00:10:00;27.11;1015.17;50.77;1.84;10.17 
2018-05-31 00:20:00;26.93;1015.14;49.41;1.83;10.12 
2018-05-31 00:30:00;26.74;1015.12;48.06;1.82;10.08 
2018-05-31 00:40:00;26.55;1015.09;46.70;1.81;10.03 
2018-05-31 00:50:00;26.37;1015.06;45.34;1.80;9.98 
2018-05-31 01:00:00;26.18;1015.03;43.98;1.80;9.93 
2018-05-31 01:10:00;26.00;1015.00;42.63;1.79;9.88 
2018-05-31 01:20:00;25.81;1014.98;41.27;1.78;9.84 
2018-05-31 01:30:00;25.62;1014.95;39.91;1.77;9.79 
2018-05-31 01:40:00;25.44;1014.92;38.55;1.76;9.74 
2018-05-31 01:50:00;25.25;1014.89;37.20;1.75;9.69 
2018-05-31 02:00:00;25.07;1014.86;35.84;1.74;9.64 
2018-05-31 02:10:00;24.88;1014.83;34.48;1.73;9.59 
2018-05-31 02:20:00;24.69;1014.81;33.12;1.72;9.55 
2018-05-31 02:30:00;24.51;1014.78;31.77;1.71;9.50 
2018-05-31 02:40:00;24.32;1014.75;30.41;1.71;9.45 
2018-05-31 02:50:00;24.14;1014.72;29.05;1.70;9.40 
2018-05-31 03:00:00;23.95;1014.69;27.69;1.69;9.35 
2018-05-31 03:10:00;23.76;1014.67;26.34;1.68;9.31 
2018-05-31 03:20:00;23.58;1014.64;24.98;1.67;9.26 
2018-05-31 03:30:00;23.39;1014.61;23.62;1.66;9.21 
2018-05-31 03:40:00;23.21;1014.58;22.26;1.65;9.16 
2018-05-31 03:50:00;23.02;1014.55;20.90;1.64;9.11 
2018-05-31 04:00:00;23.19;1014.61;23.62;1.66;9.21 
2018-05-31 04:10:00;23.36;1014.63;24.51;1.67;9.24 
2018-05-31 04:20:00;23.52;1014.64;25.41;1.67;9.27 
2018-05-31 04:30:00;23.69;1014.66;26.30;1.68;9.30 
